,fips,lot_size,square_feet,bedroom_count,bathroom_count,tax_amount,tax_value,county,tax_rate
0,6037.0,5672.0,1316.0,3.0,2.0,2627.48,205123.0,los_angeles_county,1.28
1,6037.0,8284.0,1458.0,3.0,2.0,2319.9,136104.0,los_angeles_county,1.7
2,6037.0,6707.0,1421.0,2.0,1.0,543.69,35606.0,los_angeles_county,1.53
3,6059.0,4975.0,2541.0,4.0,3.0,9819.72,880456.0,orange_county,1.12
4,6037.0,5000.0,1491.0,3.0,2.0,1399.27,107110.0,los_angeles_county,1.31
5,6037.0,7300.0,1650.0,3.0,2.0,7673.19,614000.0,los_angeles_county,1.25
6,6037.0,2908.0,693.0,2.0,1.0,3267.47,274237.0,los_angeles_county,1.19
7,6037.0,5599.0,1655.0,4.0,2.0,2169.62,164269.0,los_angeles_county,1.32
8,6037.0,6246.0,1331.0,3.0,2.0,4086.17,224906.0,los_angeles_county,1.82
9,6037.0,4038.0,1440.0,3.0,2.0,6093.88,286062.0,los_angeles_county,2.13
10,6037.0,7088.0,2427.0,4.0,1.0,6444.87,519963.0,los_angeles_county,1.24
11,6037.0,8596.0,1346.0,3.0,2.0,5627.16,465102.0,los_angeles_county,1.21
12,6037.0,6819.0,1280.0,3.0,2.0,10783.39,899750.0,los_angeles_county,1.2
13,6059.0,6774.0,1668.0,3.0,2.0,2376.34,196483.0,orange_county,1.21
14,6059.0,3090.0,1653.0,3.0,2.5,6185.28,605000.0,orange_county,1.02
15,6059.0,6000.0,879.0,3.0,1.0,2015.78,141875.0,orange_county,1.42
16,6037.0,6050.0,1108.0,3.0,2.0,5990.5,486866.0,los_angeles_county,1.23
17,6037.0,6404.0,1947.0,3.0,2.0,4784.07,388478.0,los_angeles_county,1.23
18,6037.0,6317.0,1004.0,3.0,1.0,3307.31,272154.0,los_angeles_county,1.22
19,6037.0,16258.0,3416.0,4.0,3.0,4136.13,344328.0,los_angeles_county,1.2
20,6037.0,4800.0,1061.0,2.0,1.0,412.48,31839.0,los_angeles_county,1.3
21,6059.0,7300.0,1306.0,3.0,2.0,2543.86,203480.0,orange_county,1.25
22,6037.0,6040.0,1632.0,3.0,2.0,5921.67,499402.0,los_angeles_county,1.19
23,6037.0,34309.0,2768.0,3.0,3.0,2373.63,151340.0,los_angeles_county,1.57
24,6037.0,7452.0,2392.0,3.0,3.0,9310.38,845708.0,los_angeles_county,1.1
25,6037.0,12355.0,1088.0,3.0,2.0,2228.31,130679.0,los_angeles_county,1.71
26,6037.0,5078.0,1157.0,3.0,2.0,1147.37,85692.0,los_angeles_county,1.34
27,6037.0,7675.0,1386.0,3.0,2.0,777.51,52560.0,los_angeles_county,1.48
28,6037.0,3885.0,728.0,2.0,1.0,1471.8,75227.0,los_angeles_county,1.96
29,6037.0,941333.0,1191.0,3.0,2.0,2169.02,164685.0,los_angeles_county,1.32
30,6037.0,7984.0,1358.0,3.0,2.0,3107.95,168626.0,los_angeles_county,1.84
31,6037.0,38107.0,4048.0,5.0,3.0,32411.31,2673077.0,los_angeles_county,1.21
32,6037.0,6458.0,2291.0,4.0,3.0,5284.09,397616.0,los_angeles_county,1.33
33,6037.0,12714.0,2115.0,4.0,2.0,1613.84,115306.0,los_angeles_county,1.4
34,6037.0,7977.0,1570.0,4.0,2.0,4619.79,373282.0,los_angeles_county,1.24
35,6037.0,5393.0,918.0,2.0,1.0,4406.57,374368.0,los_angeles_county,1.18
36,6037.0,5927.0,1050.0,3.0,2.0,3345.78,259334.0,los_angeles_county,1.29
37,6111.0,7000.0,1373.0,3.0,2.0,703.0,62048.0,ventura_county,1.13
38,6059.0,8001.0,1485.0,4.0,2.0,974.9,63338.0,orange_county,1.54
39,6037.0,6881.0,1716.0,3.0,1.0,690.81,44455.0,los_angeles_county,1.55
40,6037.0,9436.0,3048.0,5.0,3.0,12741.62,1150000.0,los_angeles_county,1.11
41,6037.0,12159.0,2092.0,3.0,2.0,3221.12,217006.0,los_angeles_county,1.48
42,6037.0,6499.0,1184.0,2.0,1.0,603.88,46336.0,los_angeles_county,1.3
